"date","degdays","season","type","collection","sampleName"
2018-06-18,2656,"Spring","Rib","10","RRR5C10CS"
2018-06-27,2915,"Summer","Scapula","11","RRS1C11CS"
2018-06-27,2915,"Summer","Scapula","11","RRS2C11CS"
2018-06-27,2915,"Summer","Scapula","11","RRS3C11CS"
2018-06-27,2915,"Summer","Scapula","11","RRS4C11CS"
2018-06-27,2915,"Summer","Scapula","11","RRS5C11CS"
2018-06-27,2915,"Summer","Rib","11","RRR2C11CS"
2018-06-27,2915,"Summer","Rib","11","RRR3C11CS"
2018-06-27,2915,"Summer","Rib","11","RRR4C11CS"
2018-06-27,2915,"Summer","Rib","11","RRR5C11CS"
2018-06-27,2915,"Summer","Water","11","RRWC11CS"
2018-07-06,3181,"Summer","Scapula","12","RRS1C12CS"
2018-07-06,3181,"Summer","Scapula","12","RRS2C12CS"
2018-07-06,3181,"Summer","Scapula","12","RRS3C12CS"
2018-07-06,3181,"Summer","Scapula","12","RRS4C12CS"
2018-07-06,3181,"Summer","Scapula","12","RRS5C12CS"
2018-07-06,3181,"Summer","Rib","12","RRR1C12CS"
2018-07-06,3181,"Summer","Rib","12","RRR2C12CS"
2018-07-06,3181,"Summer","Rib","12","RRR3C12CS"
2018-07-13,3388,"Summer","Scapula","13","RRS1C13CS"
2018-07-13,3388,"Summer","Scapula","13","RRS2C13CS"
2018-07-13,3388,"Summer","Scapula","13","RRS3C13CS"
2018-07-13,3388,"Summer","Scapula","13","RRS4C13CS"
2018-07-13,3388,"Summer","Scapula","13","RRS5C13CS"
2018-07-13,3388,"Summer","Rib","13","RRR1C13CS"
2018-07-13,3388,"Summer","Rib","13","RRR3C13CS"
2018-07-13,3388,"Summer","Rib","13","RRR4C13CS"
2018-07-13,3388,"Summer","Rib","13","RRR5C13CS"
2018-07-13,3388,"Summer","Water","13","RRWC13CS"
2018-07-23,3673,"Summer","Scapula","14","RRS2C14CS"
2018-07-23,3673,"Summer","Scapula","14","RRS3C14CS"
2018-07-23,3673,"Summer","Scapula","14","RRS4C14CS"
2018-07-23,3673,"Summer","Scapula","14","RRS5C14CS"
2018-07-23,3673,"Summer","Rib","14","RRR1C14CS"
2018-07-23,3673,"Summer","Rib","14","RRR2C14CS"
2018-07-23,3673,"Summer","Rib","14","RRR4C14CS"
2018-07-23,3673,"Summer","Rib","14","RRR5C14CS"
2018-08-02,3949,"Summer","Scapula","15","RRS1C15CS"
2018-08-02,3949,"Summer","Scapula","15","RRS2C15CS"
2018-08-02,3949,"Summer","Scapula","15","RRS3C15CS"
2018-08-02,3949,"Summer","Scapula","15","RRS4C15CS"
2018-08-02,3949,"Summer","Scapula","15","RRS5C15CS"
2018-08-02,3949,"Summer","Rib","15","RRR1C15CS"
2018-08-02,3949,"Summer","Rib","15","RRR2C15CS"
2018-08-02,3949,"Summer","Rib","15","RRR3C15CS"
2018-08-02,3949,"Summer","Rib","15","RRR4C15CS"
2018-08-13,4267,"Summer","Scapula","16","RRS1C16CS"
2018-08-13,4267,"Summer","Scapula","16","RRS2C16CS"
2018-08-13,4267,"Summer","Scapula","16","RRS3C16CS"
2018-08-13,4267,"Summer","Scapula","16","RRS4C16CS"
2018-08-13,4267,"Summer","Scapula","16","RRS5C16CS"
2018-08-13,4267,"Summer","Rib","16","RRR1C16CS"
2018-08-13,4267,"Summer","Rib","16","RRR2C16CS"
2018-08-13,4267,"Summer","Rib","16","RRR3C16CS"
2018-08-13,4267,"Summer","Rib","16","RRR4C16CS"
2018-08-13,4267,"Summer","Rib","16","RRR5C16CS"
2018-08-20,4473,"Summer","Scapula","17","RRS2C17CS"
2018-08-20,4473,"Summer","Water","17","RRWC17CS"
2018-08-29,4731,"Summer","Scapula","18","RRS1C18CS"
2018-08-29,4731,"Summer","Scapula","18","RRS2C18CS"
2018-08-29,4731,"Summer","Scapula","18","RRS3C18CS"
2018-08-29,4731,"Summer","Scapula","18","RRS4C18CS"
2018-08-29,4731,"Summer","Rib","18","RRR1C18CS"
2018-08-29,4731,"Summer","Rib","18","RRR2C18CS"
2018-08-29,4731,"Summer","Rib","18","RRR4C18CS"
2018-08-29,4731,"Summer","Rib","18","RRR5C18CS"
2018-08-29,4731,"Summer","Water","18","RRWC18CS"
2018-09-06,4972,"Summer","Scapula","19","RRS1C19CS"
2018-09-06,4972,"Summer","Scapula","19","RRS2C19CS"
2018-09-06,4972,"Summer","Scapula","19","RRS3C19CS"
2018-09-06,4972,"Summer","Scapula","19","RRS4C19CS"
2018-09-06,4972,"Summer","Scapula","19","RRS5C19CS"
2018-09-06,4972,"Summer","Rib","19","RRR1C19CS"
2018-09-06,4972,"Summer","Rib","19","RRR2C19CS"
2018-09-06,4972,"Summer","Rib","19","RRR3C19CS"
2018-09-06,4972,"Summer","Rib","19","RRR4C19CS"
2018-09-06,4972,"Summer","Rib","19","RRR5C19CS"
2018-09-06,4972,"Summer","Water","19","RRWC19CS"
